Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Kagoshima United,0.83,0.38,0.45,0.75,0.08,0.67,0.08,0.3,-0.22,0.83,0.38,0.45,0,0,0,-0.45,41.6,68.41,59.32,0.75,0.33,237,24,11,5,14.67,15.15,14.52,6,2,22,5,11,182.7,79.71,149.87,98.55,303.47,93.93,11,Oita Trinita 0-0 Kagoshima United,2026-03-08
Oita Trinita,0.38,0.83,-0.45,0.08,0.75,-0.67,0.3,0.08,0.22,0.38,0.83,-0.45,0,0,0,0.45,58.4,31.59,37.51,0.33,0.75,116,8,5,11,15.15,14.67,11.67,2,6,16,6,8,46.5,20.29,2.2,1.45,19.6,6.07,1,Oita Trinita 0-0 Kagoshima United,2026-03-08
Ryūkyū,0.67,1.62,-0.95,0.67,0.79,-0.12,0.0,0.83,-0.83,0.67,1.62,-0.95,0,0,0,0.95,45.5,43.06,46.32,0.29,0.73,192,7,12,16,41.38,21.92,17.67,7,4,9,1,8,53.1,29.7,53.4,58.81,62.37,34.39,2,Gainare Tottori 0-0 Ryūkyū,2026-03-08
Gainare Tottori,1.62,0.67,0.95,0.79,0.67,0.12,0.83,0.0,0.83,1.62,0.67,0.95,0,0,0,-0.95,54.5,56.94,48.4,0.73,0.29,263,16,16,12,21.92,41.38,13.21,4,7,33,9,11,125.7,70.3,37.4,41.19,118.97,65.61,0,Gainare Tottori 0-0 Ryūkyū,2026-03-08
Roasso Kumamoto,0.86,0.69,0.17,0.82,0.34,0.48,0.04,0.35,-0.31,0.86,0.69,0.17,0,1,-1,-1.17,61.3,65.17,51.6,0.69,0.52,338,18,13,11,18.84,21.15,10.03,10,3,27,8,7,152.4,74.85,17.27,12.59,100.9,46.35,0,Reilac Shiga 1-0 Roasso Kumamoto,2026-03-08
Reilac Shiga,0.69,0.86,-0.17,0.34,0.82,-0.48,0.35,0.04,0.31,0.69,0.86,-0.17,1,0,1,1.17,38.7,34.83,44.39,0.52,0.69,142,11,11,13,21.15,18.84,16.5,3,10,15,6,10,51.2,25.15,119.93,87.41,116.77,53.65,2,Reilac Shiga 1-0 Roasso Kumamoto,2026-03-08
Imabari,0.81,1.3,-0.49,0.81,1.22,-0.41,0.0,0.09,-0.09,0.81,1.3,-0.49,0,1,-1,-0.51,62.1,55.08,45.46,0.8,0.74,222,11,9,14,11.25,18.92,11.48,4,6,18,2,4,76.7,47.06,7.73,6.11,32.63,16.29,1,Kamatamare Sanuki 1-0 Imabari,2026-03-08
Kamatamare Sanuki,1.3,0.81,0.49,1.22,0.81,0.41,0.09,0.0,0.09,1.3,0.81,0.49,1,0,1,0.51,37.9,44.92,45.02,0.74,0.8,133,9,14,9,18.92,11.25,15.32,6,4,15,5,15,86.3,52.94,118.73,93.89,167.73,83.71,1,Kamatamare Sanuki 1-0 Imabari,2026-03-08
Tokushima Vortis,1.1,1.18,-0.08,1.1,0.61,0.49,0.0,0.57,-0.57,1.1,1.18,-0.08,4,0,4,4.08,56.7,60.33,44.48,0.51,0.28,237,9,20,15,39.22,53.57,9.89,4,5,12,1,7,142.4,58.34,26.6,22.91,112.4,51.86,0,Zweigen Kanazawa 0-4 Tokushima Vortis,2026-03-08
Zweigen Kanazawa,1.18,1.1,0.08,0.61,1.1,-0.49,0.57,0.0,0.57,1.18,1.1,0.08,0,4,-4,-4.08,43.3,39.67,46.52,0.28,0.51,182,11,15,20,53.57,39.22,13.59,5,4,21,5,17,101.7,41.66,89.53,77.09,104.33,48.14,1,Zweigen Kanazawa 0-4 Tokushima Vortis,2026-03-08
Ehime,1.47,2.25,-0.78,1.47,1.82,-0.35,0.0,0.43,-0.43,1.47,2.25,-0.78,2,2,0,0.78,37.3,35.48,46.4,0.7,1.49,158,7,7,25,10.0,16.78,13.32,8,5,12,1,13,41.6,16.16,99.87,85.8,81.07,24.69,0,Kataller Toyama 2-2 Ehime,2026-03-08
Kataller Toyama,2.25,1.47,0.78,1.82,1.47,0.35,0.43,0.0,0.43,2.25,1.47,0.78,2,2,0,-0.78,62.7,64.52,47.4,1.49,0.7,303,27,25,7,16.78,10.0,10.11,5,8,28,12,4,215.8,83.84,16.53,14.2,247.3,75.31,1,Kataller Toyama 2-2 Ehime,2026-03-08
Ventforet Kofu,0.71,1.32,-0.61,0.71,1.23,-0.52,0.0,0.08,-0.08,0.71,1.32,-0.61,1,0,1,1.61,42.0,43.38,48.63,0.46,0.69,190,10,4,10,8.7,14.49,19.17,1,4,14,4,8,85.6,40.7,94.0,72.01,105.37,59.74,0,Gifu 0-1 Ventforet Kofu,2026-03-08
