Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Viktoria Köln,1.92,2.46,-0.54,0.47,2.31,-1.84,0.69,0.15,0.54,1.16,2.46,-1.30,2,2,0,0.54,28.10,11.37,35.58,0.48,1.49,70,7,6,23,12.5,15.44,23.95,4,6,10,2,12,13.8,3.31,125.73,88.75,38.53,13.27,1,1860 München 2-2 Viktoria Köln,2025-10-01
1860 München,2.46,1.92,0.54,2.31,0.47,1.84,0.15,0.69,-0.54,2.46,1.16,1.30,2,2,0,-0.54,71.90,88.63,57.64,1.49,0.48,524,27,23,6,15.44,12.5,7.00,6,4,55,9,11,402.7,96.69,15.93,11.25,251.93,86.73,2,1860 München 2-2 Viktoria Köln,2025-10-01
Hoffenheim II,2.19,2.41,-0.22,1.22,2.33,-1.11,0.96,0.08,0.88,2.19,2.41,-0.22,1,3,-2,-1.78,69.60,74.85,51.76,1.52,0.55,369,20,19,12,12.5,21.82,8.41,6,2,35,16,11,177.8,78.33,2.73,2.09,93.19,40.23,2,Rot-Weiss Essen 3-1 Hoffenheim II,2025-10-01
Rot-Weiss Essen,2.41,2.19,0.22,2.33,1.22,1.11,0.08,0.96,-0.88,2.41,2.19,0.22,3,1,2,1.78,30.40,25.15,41.89,0.55,1.52,90,8,12,19,21.82,12.5,20.25,2,6,11,2,13,49.2,21.67,127.67,97.91,138.46,59.77,1,Rot-Weiss Essen 3-1 Hoffenheim II,2025-10-01
Jahn Regensburg,1.44,2.35,-0.91,1.16,1.79,-0.63,0.28,0.56,-0.28,1.44,2.35,-0.91,0,2,-2,-1.09,57.70,58.73,44.42,1.36,1.04,232,13,14,16,10.29,15.38,7.20,8,3,20,3,18,106.3,59.69,12.53,12.46,61.77,30.09,0,Osnabrück 2-0 Jahn Regensburg,2025-10-01
Osnabrück,2.35,1.44,0.91,1.79,1.16,0.63,0.56,0.28,0.28,2.35,1.44,0.91,2,0,2,1.09,42.30,41.27,43.78,1.04,1.36,164,17,16,14,15.38,10.29,12.66,3,8,16,5,11,71.8,40.31,88.0,87.54,143.53,69.91,1,Osnabrück 2-0 Jahn Regensburg,2025-10-01
Schweinfurt,2.28,3.80,-1.52,2.28,3.00,-0.72,0.00,0.79,-0.79,2.28,3.80,-1.52,1,5,-4,-2.48,46.70,50.99,49.82,0.77,0.93,228,7,12,11,15.58,11.83,12.91,4,1,21,3,15,59.6,40.3,81.4,70.78,67.89,35.25,3,Ulm 5-1 Schweinfurt,2025-10-01
Ulm,3.80,2.28,1.52,3.00,2.28,0.72,0.79,0.00,0.79,3.80,2.28,1.52,5,1,4,2.48,53.30,49.01,47.26,0.93,0.77,258,9,11,12,11.83,15.58,11.06,1,4,21,8,19,88.3,59.7,33.6,29.22,124.7,64.75,0,Ulm 5-1 Schweinfurt,2025-10-01
Erzgebirge Aue,1.21,1.05,0.16,0.79,0.95,-0.16,0.42,0.09,0.33,1.21,1.05,0.16,1,0,1,0.84,45.90,44.76,41.18,0.37,0.69,154,10,11,14,29.73,20.29,11.83,7,6,16,7,10,69.0,39.32,54.47,48.34,85.57,48.63,1,Alemannia Aachen 0-1 Erzgebirge Aue,2025-09-30
Alemannia Aachen,1.05,1.21,-0.16,0.95,0.79,0.16,0.09,0.42,-0.33,1.05,1.21,-0.16,0,1,-1,-0.84,54.10,55.24,49.29,0.69,0.37,228,16,14,11,20.29,29.73,13.48,6,7,25,4,11,106.5,60.68,58.2,51.66,90.4,51.37,7,Alemannia Aachen 0-1 Erzgebirge Aue,2025-09-30
